#星座																										
#绝对ID=孔位 + 星座*100 + 角色编号*10000	人物ID	人物名称	星座编号	星座名称	孔位(为空则表示该星座全部增加的属性，方便计算)	力量增长	体质增长	敏捷增长	智力增长	专注增长	生命增长	生命回复增长	魔法增长	物攻增长	物防增长	魔攻增长	魔防增长	命中增长	闪避增长	暴击增长	暴击抵抗增长	暴击伤害增长	物理穿透增长	魔法穿透增长	魔法恢复量	增长属性中文叙述
int	int	string	int	int	int	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	string
100804	10	草薙京	8		4	65		41										223.2		188.48						力量+65 敏捷+41 命中+223.2 暴击+188.48
100805	10	草薙京	8		5	73	45							36	18											力量+73 体质+45 物攻+36 物防+18
100806	10	草薙京	8		6		51		59																	体质+51 智力+59
100800	10	草薙京	8			196	136	109	159	107	0	0	0	36	18	0	0	223.2	0	188.48	0	0	5			
100901	10	草薙京	9		1	75			61										75.6		127.68					力量+75 智力+61 闪避+75.6 暴抗+127.68
100902	10	草薙京	9		2			45		61														5		敏捷+45 专注+61 魔穿+5
100903	10	草薙京	9		3		52		63																	体质+52 智力+63
100904	10	草薙京	9		4	86		49		69																力量+86 敏捷+49 专注+69
100905	10	草薙京	9		5					75	972	97.2														专注+75 生命+972 生命回复+97.2
100906	10	草薙京	9		6	92	58		67																	力量+92 体质+58 智力+67
100900	10	草薙京	9			253	110	94	191	205	972	97.2	0	0	0	0	0	0	75.6	0	127.68	0	0			
101001	10	草薙京	10		1			50								127.8	63.9									敏捷+50 魔攻+127.8 魔防+63.9
101002	10	草薙京	10		2	97			74	76																力量+97 智力+74 专注+76
101003	10	草薙京	10		3					78									97.2		164.16					专注+78 闪避+97.2 暴抗+164.16
101004	10	草薙京	10		4		61		78														6			体质+61 智力+78 物穿+6
101005	10	草薙京	10		5	100	64			83																力量+100 体质+64 专注+83
101006	10	草薙京	10		6	105		55			1188	118.8														力量+105 敏捷+55 生命+1188 生命回复+118.8
101000	10	草薙京	10			302	125	105	152	237	1188	118.8	0	0	0	127.8	63.9	0	97.2	0	164.16	0	6			
101101	10	草薙京	11		1			58		86						145.8	72.9									敏捷+58 专注+86 魔攻+145.8 魔防+72.9
101102	10	草薙京	11		2		69			92														6		体质+69 专注+92 魔穿+6
101103	10	草薙京	11		3	109		61	85																	力量+109 敏捷+61 智力+85
101104	10	草薙京	11		4	115													113.4		191.52					力量+115 闪避+113.4 暴抗+191.52
101105	10	草薙京	11		5				89		1278	127.8														智力+89 生命+1278 生命回复+127.8
101106	10	草薙京	11		6	122	78			95																力量+122 体质+78 专注+95
101100	10	草薙京	11			346	147	119	174	273	1278	127.8	0	0	0	145.8	72.9	0	113.4	0	191.52	0	0			
101201	10	草薙京	12		1			69		106																敏捷+69 专注+106
101202	10	草薙京	12		2		86			114													7			体质+86 专注+114 物穿+7
101203	10	草薙京	12		3	134		74	93																	力量+134 敏捷+74 智力+93
101204	10	草薙京	12		4	145	92		108																	力量+145 体质+92 智力+108
101205	10	草薙京	12		5					121									151.2		255.36					专注+121 闪避+151.2 暴抗+255.36
101206	10	草薙京	12		6	153			117		1710	171														力量+153 智力+117 生命+1710 生命回复+171
101200	10	草薙京	12			432	178	143	318	341	1710	171	0	0	0	0	0	0	151.2	0	255.36	0	7			
